CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
387492OP1;Great!;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009_TITLE;Unruly tribes near Benghazi;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009_DESC;The Libyan tribe of Al-Jawazi, following a dispute regarding tribute are uprising against our rule. What do we do?;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009OP1;Tell them to congregate here...;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009OP2;Leave them be;;;;;;;;;;;;;;;;;;;;;;x;;;;
37055_TITLE;Pindaris Raids;;;;;;;;;;;;;;;;;;;;;;x;;;;
37055_DESC;After the second Anglo-Maratha war, Shinde and Holkar had lost many of their territories to the British. They encouraged the Pindaris to raid the British territories.[39] The Pindaris, who were mostly cavalry, came to be known as the Shindeshahi and the Holkarshahi after the patronage they received from the respective defeated Maratha leaders. The Pindari leaders were Setu, Karim Khan, Dost Mohammad, Tulsi, Imam Baksh, Sahib Khan, Kadir Baksh, Nathu, and Bapu. Of these, Setu, Karim Khan, and Dost Mohammad belonged to Shindeshahi and the rest to Holkarshahi.[40] The total strength of the Pindaris in 1814 was estimated at 33,000. The Pindaris frequently raided villages in Central India. The result of the Pindari raids was that Central India was being rapidly reduced to the condition of a desert because the peasants were unable to support themselves on the land. They had no option but to join the robber bands or starve;;;;;;;;;;;;;;;;;;;;;;x;;;;
37055OP1;Outrageous!;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056_TITLE;Gangadhar Shastri Murdered;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056_DESC;The British had an arrangement with the Gaekwad dynasty of the Maratha province of Baroda to prevent the Peshwa from collecting revenue in that province. Gaekwad sent an envoy to the Peshwa in Pune to negotiate a dispute regarding revenue collection. The envoy, Gangadhar Shastri, was under British protection. He was murdered, and the Peshwa's minister Trimbak Dengle was suspected of the crime;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056OP1;They will pay in blood;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056OP2;Not really worth starting a war over...;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057_TITLE;The Maratha call us to war!;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057_DESC;The Maratha have called us to war;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057OP1;Of course we will join;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057OP2;We refuse;;;;;;;;;;;;;;;;;;;;;;x;;;;
37058_TITLE;The Maratha collapse;;;;;;;;;;;;;;;;;;;;;;x;;;;
37058_DESC;The recent war with the British, the third war, has lead to the Maratha to finally collapse, its lands now under the controll of the British influence;;;;;;;;;;;;;;;;;;;;;;x;;;;
37058_OP1;Marvellous!;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059_TITLE;The Gwalior Betrayal;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059_DESC;The traitorous Gwalior has betrayed us in our war effort;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059OP1;There is nothing we can do;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059OP2;Then we will crush them too;;;;;;;;;;;;;;;;;;;;;;x;;;;
37060OP1;Disaster!;;;;;;;;;;;;;;;;;;;;;;x;;;;
437964_TITLE;The death of Napoleon;;;;;;;;;;;;;;;;;;;;;;x;;;;
437964_DESC;Napoleon has died on his deathbed in Paris, and will be deeply missed by all of France;;;;;;;;;;;;;;;;;;;;;;x;;;;
437964OP1;What at tradgedy!;;;;;;;;;;;;;;;;;;;;;x;;;;
437965OP1;We must set up a regency untill his nephew comes of age;;;;;;;;;;;;;;;;;;;;;x;;;;
437965OP2;Revert to a republic;;;;;;;;;;;;;;;;;;;;;x;;;;
437966_TITLE;Napoleons Nephew has come of age;;;;;;;;;;;;;;;;;;;;;x;;;;
437966_DESC;After many years of a regency council, Napoleon the third has come of age to rule the might of the French Empire;;;;;;;;;;;;;;;;;;;;;x;;;;
437966OP1;Great!;;;;;;;;;;;;;;;;;;;;;x;;;;
795200_TITLE;End of the French Occupation;;;;;;;;;;;;;;;;;;;;;x;;;;
795200_DESC;The French Occupation has come to an end, and the international community expects us to withdraw our troops from France;;;;;;;;;;;;;;;;;;;;;x;;;;
795200OP1;Withdraw our troops;;;;;;;;;;;;;;;;;;;;;x;;;;
795200OP2;Our troops will stay;;;;;;;;;;;;;;;;;;;;;x;;;;
79551_TITLE;The Revolutionaries have taken land;;;;;;;;;;;;;;;;;;;;;x;;;;
79551_DESC;In a battle against the cretinous revolutionaries, they have seized our land;;;;;;;;;;;;;;;;;;;;;x;;;;
79551_OP1;Disastrous!;;;;;;;;;;;;;;;;;;;;;x;;;;
79552_TITLE;The Royalists have taken land;;;;;;;;;;;;;;;;;;;;;x;;;;
79552_DESC;In a battle against the traitorous royalists, they have seized our land;;;;;;;;;;;;;;;;;;;;;x;;;;
79554_TITLE;The Spirit of the Revoloution;;;;;;;;;;;;;;;;;;;;;x;;;;
79554_DESC;We have much support from our fellow mexican patriots, and we must seize this chance to establish an independant Mexico. Viva Mexico!;;;;;;;;;;;;;;;;;;;;;x;;;;
79554_OP1;Viva Mexico!;;;;;;;;;;;;;;;;;;;;;x;;;;
79555_TITLE;A Divided Nation;;;;;;;;;;;;;;;;;;;;;x;;;;
79555_DESC;Although we have our supporters, there are many who want to see us gone. We can trust no-one;;;;;;;;;;;;;;;;;;;;;x;;;;
79555_OP1;Hmm...;;;;;;;;;;;;;;;;;;;;;x;;;;
42069_TITLE;The fall of Mexico City;;;;;;;;;;;;;;;;;;;;;x;;;;
42069_DESC;Today, The Army of the Three Gaurentees have marched into Mexico City, the administrative capital of the Viceroy of New Spain. With this most populous city falling, the rest of Spanish Mexico is sure to crumble;;;;;;;;;;;;;;;;;;;;;;x;;;;
42069_OP1;Viva Mexico...;;;;;;;;;;;;;;;;;;;;;x;;;;
42071_OP1;Viva Mexico!;;;;;;;;;;;;;;;;;;;;;x;;;;
